stat_no	year	month	day	hour	precip	periode
34310	2008	6	4	12	0	24
34310	2008	6	5	12	0	24
34310	2008	6	6	12	0	24
34310	2008	6	7	12	-1	24
34310	2008	6	8	12	0	24
34310	2008	6	9	12	0	24
34310	2008	6	10	12	0	24
34310	2008	6	11	12	0	24
34310	2008	6	12	12	0	24
34310	2008	6	13	12	-1	24
34310	2008	6	14	12	0	24
34310	2008	6	15	12	0	24
34310	2008	6	16	12	6	24
34310	2008	6	17	12	4	24
34310	2008	6	18	12	3	24
34310	2008	6	19	12	0	24
34310	2008	6	20	12	0	24
34310	2008	6	21	12	0	24
34310	2008	6	22	12	0	24
34310	2008	6	23	12	31	24
34310	2008	6	24	12	2	24
34310	2008	6	25	12	5	24
34310	2008	6	26	12	0	24
34310	2008	6	27	12	48	24
34310	2008	6	28	12	0	24
34310	2008	6	29	12	0	24
34310	2008	6	30	12	0	24
34310	2008	7	1	12	0	24
34310	2008	7	2	12	0	24
34310	2008	7	3	12	0	24
34310	2008	7	4	12	0	24
34310	2008	7	5	12	0	24
34310	2008	7	6	12	0	24
34310	2008	7	7	12	0	24
34310	2008	7	8	12	0	24
34310	2008	7	9	12	0	24
34310	2008	7	10	12	3	24
34310	2008	7	11	12	47	24
34310	2008	7	12	12	24	24
34310	2008	7	13	12	44	24
34310	2008	7	14	12	1	24
34310	2008	7	15	12	0	24
34310	2008	7	16	12	0	24
34310	2008	7	17	12	0	24
34310	2008	7	18	12	0	24
34310	2008	7	19	12	0	24
34310	2008	7	20	12	0	24
34310	2008	7	21	12	-1	24
34310	2008	7	22	12	0	24
34310	2008	7	23	12	0	24
34310	2008	7	24	12	0	24
34310	2008	7	25	12	0	24
34310	2008	7	26	12	0	24
34310	2008	7	27	12	0	24
34310	2008	7	28	12	-1	24
34310	2008	7	29	12	-1	24
34310	2008	7	30	12	0	24
34310	2008	7	31	12	0	24
34310	2008	8	1	12	0	24
34310	2008	8	2	12	0	24
34310	2008	8	3	12	0	24
34310	2008	8	4	12	0	24
34310	2008	8	5	12	3	24
34310	2008	8	6	12	-1	24
34310	2008	8	7	12	0	24
34310	2008	8	8	12	68	24
34310	2008	8	9	12	126	24
34310	2008	8	10	12	106	24
34310	2008	8	11	12	75	24
34310	2008	8	12	12	46	24
34310	2008	8	13	12	2	24
34310	2008	8	14	12	95	24
34310	2008	8	15	12	0	24
34310	2008	8	16	12	0	24
34310	2008	8	17	12	0	24
34310	2008	8	18	12	0	24
34310	2008	8	19	12	0	24
34310	2008	8	20	12	0	24
34310	2008	8	21	12	0	24
34310	2008	8	22	12	0	24
34310	2008	8	23	12	0	24
34310	2008	8	24	12	0	24
34310	2008	8	25	12	0	24
34310	2008	8	26	12	0	24
34310	2008	8	27	12	0	24
34310	2008	8	28	12	0	24
34310	2008	8	29	12	0	24
34310	2008	8	30	12	0	24
34310	2008	8	31	12	0	24
34310	2008	9	1	12	0	24
34310	2008	9	2	12	0	24
34310	2008	9	3	12	0	24
34310	2008	9	4	12	0	24
34310	2008	9	5	12	37	24
34310	2008	9	6	12	0	24
34310	2008	9	7	12	0	24
34310	2008	9	8	12	0	24
34310	2008	9	9	12	0	24
34310	2008	9	10	12	0	24
34310	2008	9	11	12	0	24
34310	2008	9	12	12	0	24
34310	2008	9	13	12	-1	24
34310	2008	9	14	12	0	24
34310	2008	9	15	12	0	24
34310	2008	9	16	12	0	24
34310	2008	9	17	12	9	24
34310	2008	9	18	12	85	24
34310	2008	9	19	12	60	24
34310	2008	9	20	12	27	24
34310	2008	9	21	12	119	24
34310	2008	9	22	12	15	24
34310	2008	9	23	12	16	24
34310	2008	9	24	12	-1	24
34310	2008	9	25	12	70	24
34310	2008	9	26	12	44	24
34310	2008	9	27	12	-1	24
34310	2008	9	29	12	29	48
34310	2008	9	30	12	28	24
34310	2008	10	1	12	7	24
34310	2008	10	2	12	-1	24
34310	2008	10	3	12	-1	24
34310	2008	10	4	12	-1	24
34310	2008	10	5	12	-1	24
34310	2008	10	6	12	3	24
34310	2008	10	7	12	47	24
34310	2008	10	8	12	-1	24
34310	2008	10	9	12	-1	24
34310	2008	10	10	12	-1	24
34310	2008	10	11	12	18	24
34310	2008	10	12	12	-1	24
34310	2008	10	13	12	19	24
34310	2008	10	14	12	82	24
34310	2008	10	15	12	148	24
34310	2008	10	16	12	36	24
34310	2008	10	17	12	19	24
34310	2008	10	18	12	0	24
34310	2008	10	19	12	0	24
34310	2008	10	20	12	0	24
34310	2008	10	21	12	0	24
34310	2008	10	22	12	0	24
34310	2008	10	23	12	-1	24
34310	2008	10	24	12	0	24
34310	2008	10	25	12	0	24
34310	2008	10	26	12	11	24
34310	2008	10	27	12	0	24
34310	2008	10	28	12	0	24
34310	2008	10	29	12	0	24
34310	2008	10	30	12	0	24
34310	2008	10	31	12	25	24
34310	2008	11	1	12	83	24
34310	2008	11	2	12	87	24
34310	2008	11	3	12	-1	24
34310	2008	11	4	12	6	24
34310	2008	11	5	12	2	24
34310	2008	11	6	12	5	24
34310	2008	11	7	12	12	24
34310	2008	11	8	12	0	24
34310	2008	11	9	12	0	24
34310	2008	11	10	12	18	24
34310	2008	11	11	12	19	24
34310	2008	11	12	12	18	24
34310	2008	11	13	12	66	24
34310	2008	11	14	12	10	24
34310	2008	11	15	12	11	24
34310	2008	11	16	12	0	24
34310	2008	11	17	12	0	24
34310	2008	11	18	12	0	24
34310	2008	11	19	12	2	24
34310	2008	11	20	12	61	24
34310	2008	11	21	12	90	24
34310	2008	11	22	12	32	24
34310	2008	11	23	12	0	24
34310	2008	11	24	12	10	24
34310	2008	11	25	12	81	24
34310	2008	11	26	12	32	24
34310	2008	11	27	12	-1	24
34310	2008	11	28	12	0	24
34310	2008	11	29	12	0	24
34310	2008	11	30	12	0	24
34310	2008	12	1	12	2	24
34310	2008	12	2	12	0	24
34310	2008	12	3	12	-1	24
34310	2008	12	4	12	0	24
34310	2008	12	5	12	0	24
34310	2008	12	6	12	0	24
34310	2008	12	7	12	-1	24
34310	2008	12	8	12	-1	24
34310	2008	12	9	12	-1	24
34310	2008	12	10	12	90	24
34310	2008	12	11	12	200	24
34310	2008	12	12	12	0	24
34310	2008	12	13	12	0	24
34310	2008	12	14	12	0	24
34310	2008	12	15	12	0	24
34310	2008	12	16	12	7	24
34310	2008	12	17	12	65	24
34310	2008	12	18	12	57	24
34310	2008	12	19	12	0	24
34310	2008	12	20	12	0	24
34310	2008	12	21	12	0	24
34310	2008	12	22	12	0	24
34310	2008	12	23	12	0	24
34310	2008	12	24	12	15	24
34310	2008	12	25	12	24	24
34310	2008	12	26	12	0	24
34310	2008	12	27	12	0	24
34310	2008	12	28	12	0	24
34310	2008	12	29	12	7	24
34310	2008	12	30	12	24	24
34310	2008	12	31	12	-1	24
34310	2009	1	1	12	0	24
34310	2009	1	2	12	0	24
34310	2009	1	3	12	0	24
34310	2009	1	4	12	22	24
34310	2009	1	5	12	0	24
34310	2009	1	6	12	0	24
34310	2009	1	7	12	0	24
34310	2009	1	8	12	0	24
34310	2009	1	9	12	0	24
34310	2009	1	10	12	0	24
34310	2009	1	11	12	0	24
34310	2009	1	12	12	-1	24
34310	2009	1	13	12	48	24
34310	2009	1	14	12	-1	24
34310	2009	1	15	12	8	24
34310	2009	1	16	12	26	24
34310	2009	1	17	12	0	24
34310	2009	1	18	12	0	24
34310	2009	1	19	12	5	24
34310	2009	1	20	12	7	24
34310	2009	1	21	12	3	24
34310	2009	1	22	12	29	24
34310	2009	1	23	12	-1	24
34310	2009	1	24	12	5	24
34310	2009	1	25	12	0	24
34310	2009	1	26	12	0	24
34310	2009	1	27	12	0	24
34310	2009	1	28	12	0	24
34310	2009	1	29	12	0	24
34310	2009	1	30	12	0	24
34310	2009	1	31	12	93	24
34310	2009	2	1	12	44	24
34310	2009	2	2	12	5	24
34310	2009	2	3	12	1	24
34310	2009	2	4	12	0	24
34310	2009	2	5	12	10	24
34310	2009	2	6	12	9	24
34310	2009	2	7	12	32	24
34310	2009	2	8	12	0	24
34310	2009	2	9	12	3	24
34310	2009	2	10	12	0	24
34310	2009	2	11	12	0	24
34310	2009	2	12	12	0	24
34310	2009	2	13	12	1	24
34310	2009	2	14	12	0	24
34310	2009	2	15	12	0	24
34310	2009	2	16	12	0	24
34310	2009	2	17	12	-1	24
34310	2009	2	18	12	-1	24
34310	2009	2	19	12	25	24
34310	2009	2	20	12	20	24
34310	2009	2	21	12	0	24
34310	2009	2	22	12	0	24
34310	2009	2	23	12	8	24
34310	2009	2	24	12	0	24
34310	2009	2	25	12	-1	24
34310	2009	2	26	12	0	24
34310	2009	2	27	12	0	24
34310	2009	2	28	12	0	24
34310	2009	3	1	12	0	24
34310	2009	3	2	12	0	24
34310	2009	3	3	12	21	24
34310	2009	3	4	12	10	24
34310	2009	3	5	12	0	24
34310	2009	3	6	12	0	24
34310	2009	3	7	12	0	24
34310	2009	3	8	12	0	24
34310	2009	3	9	12	-1	24
34310	2009	3	11	12	35	48
34310	2009	3	12	12	2	24
34310	2009	3	13	12	19	24
34310	2009	3	14	12	-1	24
34310	2009	3	15	12	0	24
34310	2009	3	16	12	2	24
34310	2009	3	17	12	-1	24
34310	2009	3	18	12	0	24
34310	2009	3	19	12	0	24
34310	2009	3	20	12	10	24
34310	2009	3	21	12	0	24
34310	2009	3	22	12	0	24
34310	2009	3	23	12	3	24
34310	2009	3	24	12	0	24
34310	2009	3	25	12	0	24
34310	2009	3	26	12	0	24
34310	2009	3	31	12	35	120
34310	2009	4	1	12	0	24
34310	2009	4	2	12	2	24
34310	2009	4	3	12	0	24
34310	2009	4	4	12	0	24
34310	2009	4	5	12	0	24
34310	2009	4	6	12	0	24
34310	2009	4	7	12	0	24
34310	2009	4	8	12	0	24
34310	2009	4	9	12	10	24
34310	2009	4	10	12	5	24
34310	2009	4	11	12	0	24
34310	2009	4	12	12	0	24
34310	2009	4	13	12	0	24
34310	2009	4	14	12	3	24
34310	2009	4	15	12	0	24
34310	2009	4	16	12	0	24
34310	2009	4	17	12	0	24
34310	2009	4	18	12	0	24
34310	2009	4	19	12	0	24
34310	2009	4	20	12	0	24
34310	2009	4	21	12	2	24
34310	2009	4	22	12	3	24
34310	2009	4	23	12	0	24
34310	2009	4	24	12	0	24
34310	2009	4	25	12	0	24
34310	2009	4	26	12	0	24
34310	2009	4	27	12	0	24
34310	2009	4	28	12	0	24
34310	2009	4	29	12	0	24
34310	2009	4	30	12	0	24
34310	2009	5	1	12	0	24
34310	2009	5	2	12	0	24
34310	2009	5	3	12	0	24
34310	2009	5	4	12	0	24
34310	2009	5	5	12	0	24
34310	2009	5	6	12	0	24
34310	2009	5	7	12	0	24
34310	2009	5	8	12	0	24
34310	2009	5	9	12	0	24
34310	2009	5	10	12	0	24
34310	2009	5	11	12	0	24
34310	2009	5	12	12	0	24
34310	2009	5	13	12	0	24
34310	2009	5	14	12	0	24
34310	2009	5	15	12	0	24
34310	2009	5	16	12	0	24
34310	2009	5	17	12	0	24
34310	2009	5	18	12	0	24
34310	2009	5	19	12	0	24
34310	2009	5	20	12	0	24
34310	2009	5	21	12	10	24
34310	2009	5	22	12	-1	24
34310	2009	5	23	12	-1	24
34310	2009	5	24	12	22	24
34310	2009	5	25	12	28	24
34310	2009	5	26	12	16	24
34310	2009	5	27	12	11	24
34310	2009	5	28	12	1	24
34310	2009	5	29	12	0	24
34310	2009	5	30	12	0	24
34310	2009	5	31	12	0	24
34310	2009	6	1	12	12	24
34310	2009	6	2	12	0	24
34310	2009	6	3	12	8	24
34310	2009	6	4	12	0	24
34310	2009	6	5	12	5	24
34310	2009	6	6	12	0	24
34310	2009	6	7	12	0	24
34310	2009	6	8	12	0	24
34310	2009	6	9	12	0	24
34310	2009	6	10	12	0	24
34310	2009	6	11	12	0	24
34310	2009	6	12	12	0	24
34310	2009	6	13	12	0	24
34310	2009	6	14	12	0	24
34310	2009	6	15	12	0	24
34310	2009	6	16	12	7	24
34310	2009	6	17	12	49	24
34310	2009	6	18	12	4	24
34310	2009	6	19	12	7	24
34310	2009	6	20	12	-1	24
34310	2009	6	21	12	-1	24
34310	2009	6	22	12	-1	24
34310	2009	6	23	12	-1	24
34310	2009	6	24	12	-1	24
34310	2009	6	25	12	0	24
34310	2009	6	26	12	0	24
34310	2009	6	27	12	0	24
34310	2009	6	28	12	0	24
34310	2009	6	29	12	0	24
34310	2009	6	30	12	0	24
34310	2009	7	1	12	0	24
34310	2009	7	2	12	0	24
34310	2009	7	3	12	0	24
34310	2009	7	4	12	0	24
34310	2009	7	5	12	0	24
34310	2009	7	6	12	0	24
34310	2009	7	7	12	0	24
34310	2009	7	8	12	0	24
34310	2009	7	9	12	0	24
34310	2009	7	10	12	0	24
34310	2009	7	11	12	0	24
34310	2009	7	12	12	0	24
34310	2009	7	13	12	53	24
34310	2009	7	14	12	66	24
34310	2009	7	15	12	0	24
34310	2009	7	16	12	76	24
34310	2009	7	17	12	58	24
34310	2009	7	18	12	65	24
34310	2009	7	19	12	0	24
34310	2009	7	20	12	81	24
34310	2009	7	21	12	28	24
34310	2009	7	22	12	11	24
34310	2009	7	23	12	9	24
34310	2009	7	24	12	0	24
34310	2009	7	25	12	0	24
34310	2009	7	26	12	0	24
34310	2009	7	27	12	0	24
34310	2009	7	28	12	0	24
34310	2009	7	29	12	144	24
34310	2009	7	30	12	94	24
34310	2009	7	31	12	20	24
34310	2009	8	1	12	0	24
34310	2009	8	2	12	0	24
34310	2009	8	3	12	0	24
34310	2009	8	4	12	0	24
34310	2009	8	5	12	0	24
34310	2009	8	6	12	0	24
34310	2009	8	7	12	0	24
34310	2009	8	8	12	0	24
34310	2009	8	9	12	0	24
34310	2009	8	10	12	0	24
34310	2009	8	11	12	0	24
34310	2009	8	12	12	0	24
34310	2009	8	13	12	0	24
34310	2009	8	14	12	0	24
34310	2009	8	15	12	0	24
34310	2009	8	16	12	0	24
34310	2009	8	17	12	0	24
34310	2009	8	18	12	0	24
34310	2009	8	19	12	0	24
34310	2009	8	20	12	7	24
34310	2009	8	21	12	32	24
34310	2009	8	22	12	56	24
34310	2009	8	23	12	3	24
34310	2009	8	24	12	0	24
34310	2009	8	25	12	-1	24
34310	2009	8	26	12	-1	24
34310	2009	8	27	12	0	24
34310	2009	8	28	12	0	24
34310	2009	8	29	12	-1	24
34310	2009	8	30	12	0	24
34310	2009	8	31	12	10	24
34310	2009	9	1	12	-1	24
34310	2009	9	2	12	85	24
34310	2009	9	3	12	154	24
34310	2009	9	4	12	9	24
34310	2009	9	5	12	0	24
34310	2009	9	6	12	0	24
34310	2009	9	7	12	0	24
34310	2009	9	8	12	0	24
34310	2009	9	9	12	0	24
34310	2009	9	10	12	0	24
34310	2009	9	11	12	14	24
34310	2009	9	13	12	26	48
34310	2009	9	14	12	0	24
34310	2009	9	15	12	0	24
34310	2009	9	16	12	0	24
34310	2009	9	17	12	0	24
34310	2009	9	18	12	12	24
34310	2009	9	19	12	22	24
34310	2009	9	20	12	11	24
34310	2009	9	21	12	10	24
34310	2009	9	22	12	35	24
34310	2009	9	23	12	179	24
34310	2009	9	24	12	117	24
34310	2009	9	25	12	48	24
34310	2009	9	26	12	5	24
34310	2009	9	27	12	2	24
34310	2009	9	28	12	39	24
34310	2009	9	29	12	28	24
34310	2009	9	30	12	39	24
34310	2009	10	1	12	9	24
34310	2009	10	2	12	48	24
34310	2009	10	3	12	8	24
34310	2009	10	4	12	38	24
34310	2009	10	5	12	0	24
34310	2009	10	6	12	120	24
34310	2009	10	7	12	145	24
34310	2009	10	8	12	92	24
34310	2009	10	9	12	81	24
34310	2009	10	10	12	29	24
34310	2009	10	11	12	0	24
34310	2009	10	12	12	0	24
34310	2009	10	13	12	0	24
34310	2009	10	14	12	0	24
34310	2009	10	15	12	0	24
34310	2009	10	16	12	0	24
34310	2009	10	17	12	51	24
34310	2009	10	18	12	12	24
34310	2009	10	19	12	30	24
34310	2009	10	20	12	36	24
34310	2009	10	21	12	131	24
34310	2009	10	22	12	45	24
34310	2009	10	23	12	0	24
34310	2009	10	24	12	0	24
34310	2009	10	25	12	18	24
34310	2009	10	26	12	6	24
34310	2009	10	27	12	20	24
34310	2009	10	28	12	9	24
34310	2009	10	29	12	8	24
34310	2009	10	30	12	0	24
34310	2009	10	31	12	35	24
34310	2009	11	1	12	0	24
34310	2009	11	2	12	4	24
34310	2009	11	3	12	13	24
34310	2009	11	4	12	6	24
34310	2009	11	5	12	0	24
34310	2009	11	6	12	0	24
34310	2009	11	7	12	0	24
34310	2009	11	8	12	0	24
34310	2009	11	9	12	0	24
34310	2009	11	10	12	51	24
34310	2009	11	11	12	75	24
34310	2009	11	12	12	0	24
34310	2009	11	13	12	0	24
34310	2009	11	14	12	0	24
34310	2009	11	15	12	0	24
34310	2009	11	16	12	0	24
34310	2009	11	17	12	0	24
34310	2009	11	18	12	44	24
34310	2009	11	19	12	35	24
34310	2009	11	20	12	0	24
34310	2009	11	21	12	0	24
34310	2009	11	22	12	0	24
34310	2009	11	23	12	0	24
34310	2009	11	24	12	-1	24
34310	2009	11	25	12	0	24
34310	2009	11	26	12	0	24
34310	2009	11	27	12	0	24
34310	2009	11	28	12	0	24
34310	2009	11	29	12	4	24
34310	2009	11	30	12	2	24
34310	2009	12	1	12	0	24
34310	2009	12	2	12	-1	24
34310	2009	12	3	12	0	24
34310	2009	12	4	12	0	24
34310	2009	12	5	12	4	24
34310	2009	12	6	12	0	24
34310	2009	12	7	12	0	24
34310	2009	12	8	12	-1	24
34310	2009	12	9	12	2	24
34310	2009	12	10	12	3	24
34310	2009	12	11	12	0	24
34310	2009	12	13	12	8	48
34310	2009	12	14	12	0	24
34310	2009	12	15	12	0	24
34310	2009	12	16	12	0	24
34310	2009	12	17	12	0	24
34310	2009	12	18	12	0	24
34310	2009	12	19	12	0	24
34310	2009	12	21	12	300	48
34310	2009	12	22	12	25	24
34310	2009	12	23	12	3	24
34310	2009	12	25	12	3	48
34310	2009	12	26	12	-1	24
34310	2009	12	27	12	7	24
34310	2009	12	29	12	2	48
34310	2009	12	30	12	0	24
34310	2009	12	31	12	0	24
34310	2010	1	1	12	0	24
34310	2010	1	2	12	0	24
34310	2010	1	3	12	3	24
34310	2010	1	4	12	0	24
34310	2010	1	5	12	6	24
34310	2010	1	6	12	-1	24
34310	2010	1	7	12	2	24
34310	2010	1	8	12	0	24
34310	2010	1	9	12	0	24
34310	2010	1	10	12	0	24
34310	2010	1	11	12	0	24
34310	2010	1	12	12	-1	24
34310	2010	1	13	12	0	24
34310	2010	1	14	12	0	24
34310	2010	1	15	12	-1	24
34310	2010	1	16	12	0	24
34310	2010	1	17	12	0	24
34310	2010	1	18	12	0	24
34310	2010	1	19	12	12	24
34310	2010	1	20	12	4	24
34310	2010	1	21	12	7	24
34310	2010	1	22	12	0	24
34310	2010	1	23	12	1	24
34310	2010	1	24	12	7	24
34310	2010	1	25	12	3	24
34310	2010	1	26	12	6	24
34310	2010	1	27	12	0	24
34310	2010	1	28	12	0	24
34310	2010	1	29	12	2	24
34310	2010	1	30	12	0	24
34310	2010	1	31	12	0	24
34310	2010	2	1	12	0	24
34310	2010	2	2	12	6	24
34310	2010	2	3	12	0	24
34310	2010	2	4	12	0	24
34310	2010	2	5	12	0	24
34310	2010	2	6	12	4	24
34310	2010	2	7	12	2	24
34310	2010	2	8	12	2	24
34310	2010	2	9	12	5	24
34310	2010	2	10	12	280	24
34310	2010	2	11	12	250	24
34310	2010	2	12	12	0	24
34310	2010	2	13	12	0	24
34310	2010	2	14	12	0	24
34310	2010	2	15	12	0	24
34310	2010	2	16	12	0	24
34310	2010	2	17	12	30	24
34310	2010	2	18	12	0	24
34310	2010	2	19	12	0	24
34310	2010	2	20	12	0	24
34310	2010	2	21	12	-1	24
34310	2010	2	22	12	0	24
34310	2010	2	23	12	-1	24
34310	2010	2	24	12	0	24
34310	2010	2	25	12	0	24
34310	2010	2	26	12	-1	24
34310	2010	2	28	12	410	48
34310	2010	3	1	12	0	24
34310	2010	3	2	12	0	24
34310	2010	3	3	12	40	24
34310	2010	3	8	12	586	120
34310	2010	3	10	12	140	48
34310	2010	3	11	12	0	24
34310	2010	3	12	12	0	24
34310	2010	3	13	12	0	24
34310	2010	3	14	12	0	24
34310	2010	3	15	12	0	24
34310	2010	3	16	12	0	24
34310	2010	3	17	12	0	24
34310	2010	3	18	12	0	24
34310	2010	3	19	12	0	24
34310	2010	3	21	12	28	48
34310	2010	3	22	12	-1	24
34310	2010	3	23	12	0	24
34310	2010	3	24	12	0	24
34310	2010	3	25	12	0	24
34310	2010	3	26	12	0	24
34310	2010	3	27	12	0	24
34310	2010	3	28	12	-1	24
34310	2010	3	29	12	0	24
34310	2010	3	30	12	0	24
34310	2010	3	31	12	0	24
34310	2010	4	1	12	0	24
34310	2010	4	2	12	0	24
34310	2010	4	3	12	3	24
34310	2010	4	4	12	5	24
34310	2010	4	5	12	0	24
34310	2010	4	6	12	0	24
34310	2010	4	7	12	0	24
34310	2010	4	8	12	147	24
34310	2010	4	9	12	0	24
34310	2010	4	10	12	0	24
34310	2010	4	11	12	0	24
34310	2010	4	12	12	0	24
34310	2010	4	13	12	0	24
34310	2010	4	14	12	0	24
34310	2010	4	15	12	0	24
34310	2010	4	16	12	0	24
34310	2010	4	17	12	0	24
34310	2010	4	18	12	210	24
34310	2010	4	19	12	-1	24
34310	2010	4	20	12	-1	24
34310	2010	4	21	12	102	24
34310	2010	4	22	12	13	24
34310	2010	4	23	12	123	24
34310	2010	4	24	12	352	24
34310	2010	4	26	12	67	48
34310	2010	4	27	12	0	24
34310	2010	4	28	12	0	24
34310	2010	4	29	12	20	24
34310	2010	4	30	12	114	24
34310	2010	5	1	12	61	24
34310	2010	5	2	12	8	24
34310	2010	5	3	12	0	24
34310	2010	5	4	12	0	24
34310	2010	5	5	12	281	24
34310	2010	5	10	12	200	120
34310	2010	5	11	12	0	24
34310	2010	5	20	12	26	216
34310	2010	5	23	12	-1	72
34310	2010	5	24	12	0	24
34310	2010	5	27	12	18	72
34310	2010	5	28	12	0	24
34310	2010	5	29	12	-1	24
34310	2010	5	30	12	0	24
34310	2010	5	31	12	0	24
34310	2010	6	1	12	0	24
34310	2010	6	2	12	0	24
34310	2010	6	3	12	0	24
34310	2010	6	4	12	0	24
34310	2010	6	5	12	0	24
34310	2010	6	6	12	8	24
34310	2010	6	7	12	0	24
34310	2010	6	8	12	0	24
34310	2010	6	9	12	0	24
34310	2010	6	10	12	0	24
34310	2010	6	11	12	0	24
34310	2010	6	12	12	0	24
34310	2010	6	13	12	23	24
34310	2010	6	14	12	18	24
34310	2010	6	15	12	0	24
34310	2010	6	16	12	0	24
34310	2010	6	17	12	0	24
34310	2010	6	18	12	0	24
34310	2010	6	19	12	0	24
34310	2010	6	20	12	0	24
34310	2010	6	21	12	-1	24
34310	2010	6	22	12	39	24
34310	2010	6	23	12	0	24
34310	2010	6	24	12	0	24
34310	2010	6	25	12	0	24
34310	2010	6	26	12	0	24
34310	2010	6	27	12	0	24
34310	2010	6	28	12	0	24
34310	2010	6	29	12	0	24
34310	2010	6	30	12	0	24
34310	2010	7	1	12	0	24
34310	2010	7	2	12	0	24
34310	2010	7	3	12	0	24
34310	2010	7	4	12	0	24
34310	2010	7	5	12	0	24
34310	2010	7	6	12	0	24
34310	2010	7	7	12	0	24
34310	2010	7	8	12	0	24
34310	2010	7	9	12	0	24
34310	2010	7	10	12	0	24
34310	2010	7	11	12	0	24
34310	2010	7	12	12	0	24
34310	2010	7	13	12	0	24
34310	2010	7	14	12	0	24
34310	2010	7	15	12	0	24
34310	2010	7	16	12	20	24
34310	2010	7	17	12	2	24
34310	2010	7	18	12	5	24
34310	2010	7	19	12	0	24
34310	2010	7	20	12	11	24
34310	2010	7	21	12	8	24
