Station;year;month;day;601;pc
3431050;2016;6;26;0;24
3431050;2016;6;27;0;24
3431050;2016;6;28;0;24
3431050;2016;6;29;0;24
3431050;2016;6;30;0;24
3431050;2016;7;1;0;24
3431050;2016;7;2;0;24
3431050;2016;7;3;0;24
3431050;2016;7;4;0;24
3431050;2016;7;5;0;24
3431050;2016;7;6;0;24
3431050;2016;7;7;0;24
3431050;2016;7;8;0;24
3431050;2016;7;9;0;24
3431050;2016;7;10;0;24
3431050;2016;7;11;2,2;24
3431050;2016;7;12;2,3;24
3431050;2016;7;13;0;24
3431050;2016;7;14;0;24
3431050;2016;7;15;0;24
3431050;2016;7;16;0;24
3431050;2016;7;17;0;24
3431050;2016;7;18;0;24
3431050;2016;7;19;0;24
3431050;2016;7;20;0;24
3431050;2016;7;21;0;24
3431050;2016;7;22;2;24
3431050;2016;7;23;0;24
3431050;2016;7;24;0;24
3431050;2016;7;25;0;24
3431050;2016;7;26;0;24
3431050;2016;7;27;0;24
3431050;2016;7;28;0;24
3431050;2016;7;29;0;24
3431050;2016;7;30;0;24
3431050;2016;7;31;0;24
3431050;2016;8;1;0;24
3431050;2016;8;2;0;24
3431050;2016;8;3;0;24
3431050;2016;8;4;0;24
3431050;2016;8;5;1,3;24
3431050;2016;8;6;9,5;24
3431050;2016;8;7;11,2;24
3431050;2016;8;8;1;24
3431050;2016;8;9;0,1;24
3431050;2016;8;10;0,4;24
3431050;2016;8;11;0;24
3431050;2016;8;12;0;24
3431050;2016;8;13;0;24
3431050;2016;8;14;0;24
3431050;2016;8;15;0;24
3431050;2016;8;16;0;24
3431050;2016;8;17;0;24
3431050;2016;8;18;0;24
3431050;2016;8;19;0;24
3431050;2016;8;20;0;24
3431050;2016;8;21;0;24
3431050;2016;8;22;0;24
3431050;2016;8;23;0;24
3431050;2016;8;24;6,5;24
3431050;2016;8;25;1,4;24
3431050;2016;8;26;0;24
3431050;2016;8;27;0;24
3431050;2016;8;28;6,5;24
3431050;2016;8;29;2,2;24
3431050;2016;8;30;1;24
3431050;2016;8;31;0;24
3431050;2016;9;1;0,6;24
3431050;2016;9;2;1;24
3431050;2016;9;3;0;24
3431050;2016;9;4;0;24
3431050;2016;9;5;0;24
3431050;2016;9;6;0;24
3431050;2016;9;7;0;24
3431050;2016;9;8;0;24
3431050;2016;9;9;0;24
3431050;2016;9;10;0;24
3431050;2016;9;11;0,4;24
3431050;2016;9;12;0;24
3431050;2016;9;13;3,7;24
3431050;2016;9;14;0;24
3431050;2016;9;15;0;24
3431050;2016;9;16;5,8;24
3431050;2016;9;17;0;24
3431050;2016;9;18;0;24
3431050;2016;9;19;0;24
3431050;2016;9;20;0;24
3431050;2016;9;21;0;24
3431050;2016;9;22;0;24
3431050;2016;9;23;12;24
3431050;2016;9;24;0;24
3431050;2016;9;25;0;24
3431050;2016;9;26;0;24
3431050;2016;9;27;13;24
3431050;2016;9;28;1,1;24
3431050;2016;9;29;0;24
3431050;2016;9;30;0,6;24
3431050;2016;10;1;0;24
3431050;2016;10;2;0;24
3431050;2016;10;3;0;24
3431050;2016;10;4;0;24
3431050;2016;10;5;0;24
3431050;2016;10;6;0;24
3431050;2016;10;7;0;24
3431050;2016;10;8;0;24
3431050;2016;10;9;0;24
3431050;2016;10;10;0;24
3431050;2016;10;11;0,9;24
3431050;2016;10;12;0;24
3431050;2016;10;13;3,3;24
3431050;2016;10;14;0,2;24
3431050;2016;10;15;0;24
3431050;2016;10;16;0,5;24
3431050;2016;10;17;2;24
3431050;2016;10;18;1;24
3431050;2016;10;19;0,1;24
3431050;2016;10;20;7,2;24
3431050;2016;10;21;0;24
3431050;2016;10;22;0;24
3431050;2016;10;23;0;24
3431050;2016;10;24;0;24
3431050;2016;10;25;0;24
3431050;2016;10;26;6,9;24
3431050;2016;10;27;4,1;24
3431050;2016;10;28;3,4;24
3431050;2016;10;29;0;24
3431050;2016;10;30;0;24
3431050;2016;10;31;0;24
3431050;2016;11;1;0;24
3431050;2016;11;2;0;24
3431050;2016;11;3;0;24
3431050;2016;11;4;0;24
3431050;2016;11;5;0;24
3431050;2016;11;6;0,6;24
3431050;2016;11;7;2,6;24
3431050;2016;11;8;0;24
3431050;2016;11;9;0;24
3431050;2016;11;10;0;24
3431050;2016;11;11;0;24
3431050;2016;11;12;0;24
3431050;2016;11;13;0;24
3431050;2016;11;14;17;24
3431050;2016;11;15;8,1;24
3431050;2016;11;16;14,2;24
3431050;2016;11;17;0,2;24
3431050;2016;11;18;0;24
3431050;2016;11;19;0;24
3431050;2016;11;20;0;24
3431050;2016;11;21;0;24
3431050;2016;11;22;0;24
3431050;2016;11;23;1,6;24
3431050;2016;11;24;0;24
3431050;2016;11;25;0;24
3431050;2016;11;26;0,2;24
3431050;2016;11;27;18;24
3431050;2016;11;28;1,3;24
3431050;2016;11;29;0;24
3431050;2016;11;30;0;24
3431050;2016;12;1;0,4;24
3431050;2016;12;2;1;24
3431050;2016;12;3;0;24
3431050;2016;12;4;0;24
3431050;2016;12;5;0;24
3431050;2016;12;6;0;24
3431050;2016;12;7;0;24
3431050;2016;12;8;0;24
3431050;2016;12;9;0;24
3431050;2016;12;10;0;24
3431050;2016;12;11;0;24
3431050;2016;12;12;0;24
3431050;2016;12;13;0;24
3431050;2016;12;14;0;24
3431050;2016;12;15;0;24
3431050;2016;12;16;0;24
3431050;2016;12;17;1,4;24
3431050;2016;12;18;2,4;24
3431050;2016;12;19;6,4;24
3431050;2016;12;20;10,7;24
3431050;2016;12;21;0,8;24
3431050;2016;12;22;1,6;24
3431050;2016;12;23;0,6;24
3431050;2016;12;24;2,6;24
3431050;2016;12;25;1,2;24
3431050;2016;12;26;0,7;24
3431050;2016;12;27;5,4;24
3431050;2016;12;28;2;24
3431050;2016;12;29;3,8;24
3431050;2016;12;30;1;24
3431050;2016;12;31;0;24
